"","plot","rep","trtname","trtnum","nrate_kgha","krate_kgha"
"1",101,1,"0+60",3,0,60
"2",102,1,"200+0",7,200,0
"3",103,1,"0+0",1,0,0
"4",104,1,"200+60",9,200,60
"5",105,1,"100+30",5,100,30
"6",106,1,"200+30",8,200,30
"7",107,1,"100+0",4,100,0
"8",108,1,"0+30",2,0,30
"9",109,1,"100+60",6,100,60
"10",201,2,"0+0",1,0,0
"11",202,2,"200+60",9,200,60
"12",203,2,"100+0",4,100,0
"13",204,2,"100+60",6,100,60
"14",205,2,"0+60",3,0,60
"15",206,2,"200+30",8,200,30
"16",207,2,"100+30",5,100,30
"17",208,2,"200+0",7,200,0
"18",209,2,"0+30",2,0,30
"19",301,3,"100+0",4,100,0
"20",302,3,"100+30",5,100,30
"21",303,3,"200+30",8,200,30
"22",304,3,"0+0",1,0,0
"23",305,3,"200+60",9,200,60
"24",306,3,"100+60",6,100,60
"25",307,3,"0+30",2,0,30
"26",308,3,"200+0",7,200,0
"27",309,3,"0+60",3,0,60
"28",401,4,"200+60",9,200,60
"29",402,4,"0+30",2,0,30
"30",403,4,"0+60",3,0,60
"31",404,4,"0+0",1,0,0
"32",405,4,"100+60",6,100,60
"33",406,4,"100+0",4,100,0
"34",407,4,"100+30",5,100,30
"35",408,4,"200+30",8,200,30
"36",409,4,"200+0",7,200,0
